#  z  shear  u_star  L_Ko  Km  l_mix
0.312500000E-1  12.6602602  0.464490093E-1  0.984680606E-3  0.170415966E-3  0.366888265E-2
0.937500000E-1  1.44898450  0.545071624E-1  0.140221347E-2  0.205042283E-2  0.376174934E-1
0.156250000  0.846055627  0.567895249E-1  0.148202165E-2  0.381186535E-2  0.671226829E-1
0.218750000  0.594223499  0.572612323E-1  0.150194624E-2  0.551787112E-2  0.963631198E-1
0.281250000  0.449606836  0.562697500E-1  0.151172990E-2  0.704234140E-2  0.125153244
0.343750000  0.404693127  0.542010218E-1  0.150923210E-2  0.725920638E-2  0.133931175
0.406250000  0.362141907  0.506811254E-1  0.150203949E-2  0.709273480E-2  0.139948249
0.468750000  0.353353888  0.460838079E-1  0.148901052E-2  0.601017103E-2  0.130418286
0.531250000  0.316567242  0.405184664E-1  0.148931716E-2  0.518608931E-2  0.127993226
0.593750000  0.259003669  0.339314602E-1  0.150263961E-2  0.444528041E-2  0.131007642
0.656250000  0.233232811  0.248865075E-1  0.150689948E-2  0.265545095E-2  0.106702432
0.718750000  0.207685217  0.116708148E-1  0.151698443E-2  0.655838288E-3  0.561947301E-1
0.781250000  0.164800718  0.240035914E-1  0.152834447E-2  0.349617633E-2  0.145652220
0.843750000  0.124678798  0.336655974E-1  0.153955887E-2  0.909033790E-2  0.270018607
0.906250000  0.828361586E-1  0.407709740E-1  0.156304298E-2  0.200669896E-1  0.492188126
0.968750000  0.164212566E-1  0.470481701E-1  0.159907702E-2  0.134796649  2.86507750
1.03125000  0.441953130E-1  0.557644889E-1  0.157152989E-2  0.703621730E-1  1.26177382
1.09375000  0.731545407E-2  0.609246008E-1  0.166563038E-2  0.507392585  8.32820511
1.15625000  0.280581210E-1  0.646524504E-1  0.177341781E-2  0.148974329  2.30423331
1.21875000  0.600667223E-1  0.667326376E-1  0.188057136E-2  0.741383061E-1  1.11097527
1.28125000  0.109746017  0.671492368E-1  0.197143550E-2  0.410859510E-1  0.611860335
1.34375000  0.167686686  0.666102320E-1  0.204565097E-2  0.264596008E-1  0.397230297
1.40625000  0.212924898  0.652900934E-1  0.209475472E-2  0.200201888E-1  0.306634396
1.46875000  0.248184577  0.636656433E-1  0.213466422E-2  0.163318533E-1  0.256525367
1.53125000  0.257327080  0.615744293E-1  0.218085293E-2  0.147338174E-1  0.239284679
1.59375000  0.257734627  0.593347214E-1  0.224172301E-2  0.136598218E-1  0.230216339
1.65625000  0.316175371  0.560906604E-1  0.229962659E-2  0.995068625E-2  0.177403629
1.71875000  0.434475809  0.515931323E-1  0.233648764E-2  0.612658169E-2  0.118748002
1.78125000  0.626309037  0.462994017E-1  0.234473753E-2  0.342264655E-2  0.739242062E-1
1.84375000  0.900434017  0.406817980E-1  0.227582082E-2  0.183801225E-2  0.451802090E-1
1.90625000  2.09674215  0.331500620E-1  0.187911559E-2  0.524111500E-3  0.158102717E-1
1.96875000  3.14623094  0.449871160E-1  0.105950702E-2  0.643258740E-3  0.142987324E-1
